Hour,Solar_Capacity_Factor,Wind_Capacity_Factor,Hydrogen_variable,Wind_Capacity_Factor_2,orginal wind capacity
0:00,0,0.391,0.609,0.3549,0.391
1:00,0,0.39,0.61,0.3085,0.39
2:00,0,0.387,0.613,0.2798,0.387
3:00,0,0.379,0.621,0.2654,0.379
4:00,0,0.372,0.628,0.2547,0.372
5:00,0,0.361,0.639,0.2405,0.361
6:00,0.32,0.35,0.65,0.2262,0.35
7:00,0.4,0.4,0.6,0.2119,0.344
8:00,0.5,0.4,0.6,0.2017,0.343
9:00,0.6,0.351,0.649,0.1947,0.351
10:00,0.7,0.363,0.637,0.191,0.363
11:00,0.8,0.382,0.618,0.1929,0.382
12:00,0.85,0.41,0.59,0.1904,0.41
13:00,0.8,0.447,0.553,0.1842,0.447
14:00,0.7,0.485,0.515,0.188,0.485
15:00,0.6,0.513,0.487,0.19,0.513
16:00,0.5,0.528,0.472,0.2513,0.528
17:00,0.4,0.6,0.4,0.3371,0.532
18:00,0.32,0.63,0.37,0.403,0.533
19:00,0,0.67,0.33,0.4929,0.532
20:00,0,0.6,0.4,0.6225,0.527
21:00,0,0.55,0.45,0.7502,0.527
22:00,0,0.524,0.476,0.8279,0.524
23:00,0,0.513,0.487,0.8717,0.513
