Hour,Solar_Capacity_Factor,Wind_Capacity_Factor,Hydrogen_variable,Wind_Capacity_Factor_2
0:00,0,0.191,0.809,0.3549
1:00,0,0.19,0.81,0.3085
2:00,0,0.187,0.813,0.2798
3:00,0,0.179,0.821,0.2654
4:00,0,0.172,0.828,0.2547
5:00,0,0.161,0.839,0.2405
6:00,0.02,0.15,0.85,0.2262
7:00,0.1,0.144,0.856,0.2119
8:00,0.2,0.143,0.857,0.2017
9:00,0.3,0.151,0.849,0.1947
10:00,0.4,0.163,0.837,0.191
11:00,0.5,0.182,0.818,0.1929
12:00,0.55,0.21,0.79,0.1904
13:00,0.5,0.247,0.753,0.1842
14:00,0.4,0.285,0.715,0.188
15:00,0.3,0.313,0.687,0.19
16:00,0.2,0.328,0.672,0.2513
17:00,0.1,0.332,0.668,0.3371
18:00,0.02,0.333,0.667,0.403
19:00,0,0.332,0.668,0.4929
20:00,0,0.327,0.673,0.6225
21:00,0,0.327,0.673,0.7502
22:00,0,0.324,0.676,0.8279
23:00,0,0.313,0.687,0.8717
