RE,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",326.1202458,327.5010479,324.7592168,323.0763216,315.2476485,322.6583449,326.3791172,359.2022287,358.4774583,352.2076387,346.9918541,364.3461558,321.9288137,324.7344385,325.873427,326.3815575,362.0921564,319.1451173,323.2061248,323.2852688,325.2514735,332.512683,397.1952033,414.4187338
"Scenario SB,  Case DL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SB,  Case EH",89.99954,89.99954,89.99954,1799.941875,1799.941875,719.99632,1799.941875,1799.941875,719.99632,111.8980508,1799.941875,719.99632,1799.941875,1199.941875,1799.941875,1799.941875,89.99954,1799.941875,1199.941875,599.941875,1199.941875,1799.941875,1529.99566,1709.99474
"Scenario SB,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",305.1379113,312.899622,311.5573965,310.3206135,308.0208027,310.1263935,321.7692883,256.9243363,256.4138089,242.563052,242.7140928,267.8204424,316.8977457,316.9060729,319.4001082,318.7275736,301.8427268,318.5602342,324.1399394,324.3996016,324.1642605,326.1973979,366.4431323,381.7453199
"Scenario PD, Case E",269.9992,449.99944,89.99954,449.99944,539.99898,629.9991,0,150.01176,0,89.99954,179.99966,449.99944,179.99966,629.99852,179.99966,0,0,449.99944,0,449.99944,0,0,0,809.99876
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,z,,,,,,,,,,,,,,,,,,,
