Daily Reserve,,,
Reserve,RG,RE,RB
"Scenario SB,  Case DH",19626.57833,8142.992276,19157.63113
"Scenario SB,  Case DL",15411.98315,0,29794.40826
"Scenario SB,  Case EH",0,28071.06182,15127.54318
"Scenario SB,  Case EL",0,0,42398.66313
,,,
,,,
"Scenario PD, Case D",20068.46683,7385.691873,19992.95335
"Scenario PD, Case E",0,6000.00158,37198.60342
,,,
,,,
"Scenario SHP,  Case DH",20462.43376,7688.483138,19140.18503
"Scenario SHP,  Case DL",15870.23214,0,29613.62649
"Scenario SHP,  Case EH",0,29969.11991,13229.4851
"Scenario SHP,  Case EL",0,0,42398.77938
